,artist_individual,streams
3601,Dzeguzīte,24250
14711,АКУЛИЧ,24352
14609,vafom,24352
4296,Ferrum,24413
1943,Buitres,24448
10826,Ratxhet,24486
5830,Jais,24544
4237,Farovi,24544
13494,Victor Perry,24590
14475,mansonvibes,24635
2461,Cloud 雲浩影,24695
13190,Tuckshop Bafanaz,24799
7569,Lil Manzi,24808
364,Abyusif&Abo El Anwar,24840
11116,Ronela Hajati,24878
1794,Bongo Beats,24890
4713,Gem Valley,24890
5873,Jan Bendig,24908
5990,Jeannon,24915
14765,Петро Чорний,24940
14759,Олександр Пономарьов,24940
14752,Михайло Хома,24940
14708,Євген Кошовий,24940
14777,Тарас Тополя,24940
14782,Юрій Ткач,24940
11396,Sadboy4eva,25025
14318,chain$aw,25048
14304,blade swinger,25126
7054,KrispyLife Kidd,25135
11957,Skillibeng,25203
13385,Vaiko Eplik,25210
735,Amaro,25240
8639,Mayssa Karaa,25245
5952,Jay Critch,25280
428,Adriana Rusu,25292
12688,Tellaman,25309
12161,Spoegwolf,25355
3237,Die Heuwels Fantasties,25355
7498,Lesley Roy,25424
5671,Izzy La Reina,25449
2406,Chundung,25453
8613,Mavis Hee,25470
14310,brazy,25566
12281,Stonebwoy,25586
3717,Edinho Pakera O Barão Da Pisadinha,25601
937,Antonio,25617
12293,Strick,25646
2516,Coolkiid Da Vocalist,25721
4316,Filia Kanellopoulou,25756
3431,Dolos,25756
5130,Hangzoo,25787
4479,Freeklane,25823
677,Alina Orlova,25836
12003,Slinkays Acs,25873
7329,Lama Lo,25881
9364,Nam Đức,25888
5293,Hipsumhaps,25891
6678,Kaspars Dimiters,25943
6085,Jinadu,25946
868,Angelos,25946
11573,Sawce,25958
11516,Sapir Saban,25993
3220,Diamond Platnumz,26006
2447,Clement whyte,26077
3741,Egert Milder,26086
2059,CY 陳澤言,26155
4006,Enisa,26196
11917,Sir Bless,26236
10054,Ozols,26291
7546,Lil Cagula,26318
13906,Yanga Chief,26326
736,Amarosis,26385
11362,SUNCITY,26403
11502,Sanna Martinez,26403
1755,Bob Mabena,26453
2731,DJ Hlo,26453
4041,Erique,26514
14392,gazzzy,26557
14382,framed,26557
2034,CHINCHILLA,26640
14854,محمد عبدالجبار&محمود الشاعري&علي البدر,26657
8063,MC Yinka,26665
4992,Gwamba,26681
8819,Mgiftos,26699
12258,Steve,26699
4784,Giannis Ploutarhos,26745
6690,Katerina,26745
12881,Thembii. N,26828
11943,Sje Konka,26828
14825,حسونوف,26835
143,777YM,26861
