,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
538,QUINCY JONES,5.0,6,4,0,0
539,SHINEDOWN,5.0,5,3,1,0
540,THE BLACK KEYS,5.0,4,2,2,0
541,THE CLASH,5.0,5,3,1,0
542,THE FRAY,5.0,2,2,1,0
543,THE JACKSONS,5.0,5,3,1,0
544,TIFFANY,5.0,2,2,1,0
545,TOM JONES,5.0,10,0,0,0
546,TRAVIS SCOTT,5.0,3,3,1,0
547,VANESSA WILLIAMS,5.0,4,2,1,0
548,YOUNGBOY NEVER BROKE AGAIN,5.0,7,3,0,0
549,A BOOGIE WIT DA HOODIE,4.5,4,3,1,0
550,A TRIBE CALLED QUEST,4.5,6,3,0,0
551,AL JARREAU,4.5,7,2,0,0
552,ANNIE LENNOX,4.5,3,2,2,0
553,ARRESTED DEVELOPMENT,4.5,2,1,1,0
554,AUDIOSLAVE,4.5,3,2,1,0
555,BIG & RICH,4.5,3,2,1,0
556,BIG SEAN,4.5,4,3,1,0
557,BRUCE HORNSBY & THE RANGE,4.5,3,2,1,0
558,CANDLEBOX,4.5,2,1,1,0
559,CHARLOTTE CHURCH,4.5,4,3,1,0
560,CHRIS TOMLIN,4.5,7,2,0,0
561,CREAM,4.5,7,2,0,0
562,DIANA ROSS,4.5,7,2,0,0
563,DIERKS BENTLEY,4.5,7,2,0,0
564,FIONA APPLE,4.5,3,2,1,0
565,FLORIDA GEORGIA LINE,4.5,4,3,1,0
566,GOOD CHARLOTTE,4.5,3,2,1,0
567,HANK WILLIAMS,4.5,5,4,0,0
568,IRON BUTTERFLY,4.5,2,1,1,0
569,JEFF BECK,4.5,7,2,0,0
570,JEFFERSON AIRPLANE,4.5,7,2,0,0
571,JO DEE MESSINA,4.5,5,2,1,0
572,JOSH TURNER,4.5,5,2,1,0
573,KEVIN GATES,4.5,5,2,1,0
